2, 12284, Note_off_c, 0, 68, 100
2, 12288, Note_on_c, 0, 80, 110
2, 12288, Note_on_c, 0, 68, 110
2, 13432, Note_off_c, 0, 80, 100
2, 13432, Note_off_c, 0, 68, 100
2, 13440, Note_on_c, 0, 67, 110
2, 13440, Note_on_c, 0, 74, 110
2, 13624, Note_off_c, 0, 74, 100
2, 13632, Note_on_c, 0, 79, 110
2, 13816, Note_off_c, 0, 67, 100
2, 13816, Note_off_c, 0, 79, 100
2, 13824, Note_on_c, 0, 67, 110
2, 13824, Note_on_c, 0, 79, 110
2, 14200, Note_off_c, 0, 67, 100
2, 14200, Note_off_c, 0, 79, 100
2, 14208, Note_on_c, 0, 65, 110
2, 14208, Note_on_c, 0, 72, 110
2, 14392, Note_off_c, 0, 72, 100
2, 14400, Note_on_c, 0, 77, 110
2, 14584, Note_off_c, 0, 65, 100
2, 14584, Note_off_c, 0, 77, 100
2, 14592, Note_on_c, 0, 65, 110
2, 14592, Note_on_c, 0, 77, 110
2, 14968, Note_off_c, 0, 65, 100
2, 14968, Note_off_c, 0, 77, 100
2, 14976, Note_on_c, 0, 63, 110
2, 14976, Note_on_c, 0, 70, 110
2, 15160, Note_off_c, 0, 70, 100
2, 15168, Note_on_c, 0, 75, 110
2, 15352, Note_off_c, 0, 63, 100
2, 15352, Note_off_c, 0, 75, 100
2, 15360, Note_on_c, 0, 70, 110
2, 15360, Note_on_c, 0, 68, 110
2, 15360, Note_on_c, 0, 75, 110
2, 15360, Note_on_c, 0, 63, 110
2, 16120, Note_off_c, 0, 75, 100
2, 16120, Note_off_c, 0, 63, 100
2, 16128, Note_on_c, 0, 74, 80
2, 16128, Note_on_c, 0, 62, 80
2, 16504, Note_off_c, 0, 70, 100
2, 16504, Note_off_c, 0, 68, 100
2, 16504, Note_off_c, 0, 74, 100
2, 16504, Note_off_c, 0, 62, 100
2, 16512, Note_on_c, 0, 75, 80
2, 16512, Note_on_c, 0, 70, 80
2, 16512, Note_on_c, 0, 63, 80
2, 16888, Note_off_c, 0, 75, 100
2, 16888, Note_off_c, 0, 70, 100
2, 16888, Note_off_c, 0, 63, 100
2, 16896, Note_on_c, 0, 77, 80
2, 16896, Note_on_c, 0, 70, 80
2, 16896, Note_on_c, 0, 65, 80
2, 17272, Note_off_c, 0, 77, 100
2, 17272, Note_off_c, 0, 70, 100
2, 17272, Note_off_c, 0, 65, 100
2, 17280, Note_on_c, 0, 79, 80
2, 17280, Note_on_c, 0, 70, 80
2, 17280, Note_on_c, 0, 67, 80
2, 17656, Note_off_c, 0, 79, 100
2, 17656, Note_off_c, 0, 70, 100
2, 17656, Note_off_c, 0, 67, 100
2, 17664, Note_on_c, 0, 80, 80
2, 17664, Note_on_c, 0, 70, 80
2, 17664, Note_on_c, 0, 68, 80
2, 18040, Note_off_c, 0, 80, 100
2, 18040, Note_off_c, 0, 70, 100
2, 18040, Note_off_c, 0, 68, 100
2, 18048, Note_on_c, 0, 82, 80
2, 18048, Note_on_c, 0, 70, 80
2, 18424, Note_off_c, 0, 82, 100
2, 18424, Note_off_c, 0, 70, 100
2, 18432, Note_on_c, 0, 79, 80
2, 18432, Note_on_c, 0, 70, 80
2, 18432, Note_on_c, 0, 67, 80
2, 18808, Note_off_c, 0, 79, 100
2, 18808, Note_off_c, 0, 70, 100
2, 18808, Note_off_c, 0, 67, 100
2, 19200, Note_on_c, 0, 82, 88
2, 19200, Note_on_c, 0, 70, 88
2, 19576, Note_off_c, 0, 82, 100
2, 19576, Note_off_c, 0, 70, 100
2, 19968, Note_on_c, 0, 94, 110
2, 19968, Note_on_c, 0, 82, 110
2, 21112, Note_off_c, 0, 94, 100
2, 21112, Note_off_c, 0, 82, 100
2, 21120, Note_on_c, 0, 82, 110
2, 21120, Note_on_c, 0, 70, 110
2, 22648, Note_off_c, 0, 70, 100
2, 22648, Note_off_c, 0, 82, 100
2, 22656, Note_on_c, 0, 79, 80
2, 22656, Note_on_c, 0, 67, 80
2, 23032, Note_off_c, 0, 79, 100
2, 23032, Note_off_c, 0, 67, 100
2, 23040, Note_on_c, 0, 77, 80
2, 23040, Note_on_c, 0, 65, 80
2, 23416, Note_off_c, 0, 77, 100
2, 23416, Note_off_c, 0, 65, 100
2, 23424, Note_on_c, 0, 74, 80
2, 23424, Note_on_c, 0, 62, 80
2, 23800, Note_off_c, 0, 74, 100
2, 23800, Note_off_c, 0, 62, 100
2, 23808, Note_on_c, 0, 71, 80
2, 23808, Note_on_c, 0, 59, 80
2, 24184, Note_off_c, 0, 71, 100
2, 24184, Note_off_c, 0, 59, 100
2, 24192, Note_on_c, 0, 70, 80
2, 24192, Note_on_c, 0, 58, 80
2, 24568, Note_off_c, 0, 70, 100
2, 24568, Note_off_c, 0, 58, 100
2, 24576, Note_on_c, 0, 70, 80
2, 24576, Note_on_c, 0, 58, 80
2, 24952, Note_off_c, 0, 70, 100
2, 24952, Note_off_c, 0, 58, 100
2, 25344, Note_on_c, 0, 82, 88
2, 25344, Note_on_c, 0, 70, 88
2, 25720, Note_off_c, 0, 82, 100
2, 25720, Note_off_c, 0, 70, 100
2, 26112, Note_on_c, 0, 94, 110
2, 26112, Note_on_c, 0, 82, 111
2, 27256, Note_off_c, 0, 94, 100
2, 27256, Note_off_c, 0, 82, 100
2, 27264, Note_on_c, 0, 82, 110
2, 27264, Note_on_c, 0, 70, 110
2, 28792, Note_off_c, 0, 70, 100
2, 28792, Note_off_c, 0, 82, 100
2, 28800, Note_on_c, 0, 79, 80
2, 28800, Note_on_c, 0, 67, 80
2, 29176, Note_off_c, 0, 79, 100
2, 29176, Note_off_c, 0, 67, 100
2, 29184, Note_on_c, 0, 76, 80
2, 29184, Note_on_c, 0, 64, 80
2, 29560, Note_off_c, 0, 76, 100
2, 29560, Note_off_c, 0, 64, 100
2, 29568, Note_on_c, 0, 65, 80
2, 29568, Note_on_c, 0, 77, 80
2, 29944, Note_off_c, 0, 65, 100
2, 29944, Note_off_c, 0, 77, 100
2, 29952, Note_on_c, 0, 72, 80
2, 29952, Note_on_c, 0, 60, 80
2, 30328, Note_off_c, 0, 72, 100
2, 30328, Note_off_c, 0, 60, 100
2, 30336, Note_on_c, 0, 75, 80
2, 30336, Note_on_c, 0, 63, 80
2, 30712, Note_off_c, 0, 75, 100
2, 30712, Note_off_c, 0, 63, 100
2, 30720, Note_on_c, 0, 74, 80
2, 30720, Note_on_c, 0, 62, 80
2, 30904, Note_off_c, 0, 74, 100
2, 30904, Note_off_c, 0, 62, 100
2, 30912, Note_on_c, 0, 70, 80
2, 31096, Note_off_c, 0, 70, 100
2, 31104, Note_on_c, 0, 69, 80
2, 31288, Note_off_c, 0, 69, 100
2, 31296, Note_on_c, 0, 70, 80
2, 31480, Note_off_c, 0, 70, 100
2, 31488, Note_on_c, 0, 72, 80
2, 31488, Note_on_c, 0, 69, 80
2, 31672, Note_off_c, 0, 72, 100
2, 31672, Note_off_c, 0, 69, 100
2, 31680, Note_on_c, 0, 74, 80
2, 31680, Note_on_c, 0, 70, 80
2, 31864, Note_off_c, 0, 74, 100
2, 31864, Note_off_c, 0, 70, 100
2, 31872, Note_on_c, 0, 75, 80
2, 31872, Note_on_c, 0, 72, 80
2, 32056, Note_off_c, 0, 75, 100
2, 32056, Note_off_c, 0, 72, 100
2, 32064, Note_on_c, 0, 77, 80
2, 32064, Note_on_c, 0, 74, 80
2, 32248, Note_off_c, 0, 77, 100
2, 32248, Note_off_c, 0, 74, 100
2, 32256, Note_on_c, 0, 79, 80
2, 32256, Note_on_c, 0, 75, 80
2, 33016, Note_off_c, 0, 79, 100
2, 33016, Note_off_c, 0, 75, 100
2, 33024, Note_on_c, 0, 84, 80
2, 33024, Note_on_c, 0, 80, 80
2, 33208, Note_off_c, 0, 84, 100
2, 33208, Note_off_c, 0, 80, 100
2, 33216, Note_on_c, 0, 82, 80
2, 33216, Note_on_c, 0, 79, 80
2, 33400, Note_off_c, 0, 82, 100
2, 33400, Note_off_c, 0, 79, 100
2, 33408, Note_on_c, 0, 80, 80
